clade_name	metaphlan_SRR5930493	metaphlan_SRR5930494	metaphlan_SRR5930495	metaphlan_SRR5930497	metaphlan_SRR5930498	metaphlan_SRR5930499	metaphlan_SRR5930501	metaphlan_SRR5930502	metaphlan_SRR5930503	metaphlan_SRR5930504	metaphlan_SRR5930505	metaphlan_SRR5930506	metaphlan_SRR5930507	metaphlan_SRR5930508	metaphlan_SRR5930509	metaphlan_SRR5930510	metaphlan_SRR5930511	metaphlan_SRR5930512	metaphlan_SRR5930513	metaphlan_SRR5930514	metaphlan_SRR5930515	metaphlan_SRR5930516	metaphlan_SRR5930517	metaphlan_SRR5930518	metaphlan_SRR5930519	metaphlan_SRR5930520	metaphlan_SRR5930521	metaphlan_SRR5930522	metaphlan_SRR5930523	metaphlan_SRR5930526	metaphlan_SRR5930527	metaphlan_SRR5930528	metaphlan_SRR5930529	metaphlan_SRR5930530	metaphlan_SRR5930531	metaphlan_SRR5930532	metaphlan_SRR5930533	metaphlan_SRR5930534	metaphlan_SRR5930536
k__Bacteria|p__Actinobacteria|c__CFGB2992	0.05117	0.0	0.03256	0.0	0.06794	0.0	0.0	0.0	0.0	0.0	0.01937	0.0	0.08005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01202	0.0	0.24542	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.0511	0.00697	0.0	0.00211	0.10036	0.00518	0.00087	0.0	0.00526	0.0	0.00678	0.01419	0.0381	0.00177	0.0	0.0	0.0229	0.0	0.0	0.01936	0.0	0.0051	0.0	0.0	0.0	0.03044	0.01543	0.00645	0.0	0.0	0.05714	0.00035	0.0	0.01388	0.00387	0.0	0.0	0.0	0.00156
k__Bacteria|p__Firmicutes|c__CFGB2954	0.04827	0.0	0.0	0.0	0.0	0.0	0.01565	0.0	0.03239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.04246	0.13109	0.25331	0.17925	0.67249	0.03925	0.56492	0.00159	0.20527	0.31902	0.72272	0.41893	0.0	0.22015	0.60704	1.73185	0.01364	0.04632	0.0	0.4794	0.61246	0.02722	1.24843	0.0	0.33141	0.69158	0.40761	0.34064	0.0	2.0103	0.38306	0.13385	1.0731	0.76275	0.03425	0.00039	0.22291	0.96393	0.31635
k__Bacteria|p__Firmicutes|c__CFGB72926	0.03112	0.0	0.0	0.0	0.0	0.0	0.42908	0.0	0.01154	0.0	0.0	0.74838	0.0	0.0	0.0	0.0	0.04008	0.0	0.0	0.00342	0.0	0.00171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB629	0.02313	0.00193	0.0	0.07683	0.0	0.0	0.0	0.00286	0.00085	0.0	0.0	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32914	0.0	0.0	0.0	0.81549	0.0	0.0	0.0	0.00226	0.0	0.0	6e-05	0.0	0.0	0.00126	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1359	0.02163	0.0	0.0	0.0	0.09043	0.0	0.00072	0.0	0.03134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1262	0.02032	0.02855	0.02257	0.0	0.00247	0.00684	0.0	0.0	0.00614	0.0	0.0	0.02169	0.02083	0.0	0.0	0.0	0.05493	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01976	0.02387	0.0	0.01463	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9977	0.02026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75922	0.01869	0.0	0.0	0.0	0.0	0.0022	0.0	0.00825	0.00479	0.00445	0.02477	0.08512	0.0	0.02638	0.0	0.0	0.01285	0.0	0.00245	0.0	0.0	0.0	0.0	0.04734	0.0	0.01508	0.01326	0.0	0.06395	0.0	0.00052	0.0	0.0	0.00382	0.0	0.0	0.00962	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3009	0.01368	0.00069	0.0	0.00129	0.0	0.0559	0.0	0.0	0.0	0.00044	0.00693	0.0121	0.0	0.0	0.00572	0.0	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04563	0.0	0.00674	0.0	0.0	0.00103	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1470	0.01168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.01095	0.0	0.0	0.0	0.03809	0.0	0.01438	0.0	0.06399	0.0	0.0	0.0899	0.0	0.00422	6e-05	0.0	0.0	0.01395	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.02445	0.0	0.0	0.05045	0.03321	0.0	0.0	0.0	0.17358	0.0	0.0	0.0	0.06385	0.0
k__Bacteria|p__Firmicutes|c__CFGB2863	0.00887	0.01559	0.0	0.0	0.01655	0.0005	0.00031	0.0	0.00055	0.0	0.0	0.00108	0.0484	0.00156	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189	0.00314	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0.00755	0.09526	0.0	0.0	0.0	0.0	0.02755	0.0	0.01762	0.11251	0.0956	0.10631	0.0	0.06517	0.0	0.08489	0.07751	0.0	0.0	0.0107	0.0	0.04867	0.0	0.0	0.0	0.07749	0.0	0.0	0.10533	0.01198	0.0	0.19311	0.0	0.13036	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4806	0.00612	0.00625	0.00499	0.0054	0.00422	0.00495	0.00401	0.00958	0.00514	0.0	0.00122	0.0	0.0	0.00521	0.00573	0.0	0.00311	0.0	0.0	4.63551	0.0	4.83269	0.0	0.0	0.0	0.00523	0.00129	0.00386	0.01035	0.00515	0.00058	0.00135	0.00722	0.0046	0.00713	0.00534	0.00423	6.85362	0.00583
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00353	0.54426	8.44516	0.02688	0.05952	7.23383	3.35304	0.0016	0.44401	0.00788	0.00295	0.00682	0.5039	0.0018	0.24685	0.19428	0.38788	0.01008	0.02179	0.1522	0.02047	0.0	22.29054	0.00245	7.63458	0.15772	0.08978	3.74233	0.00964	0.00061	1.81042	0.03216	1.76544	3.63998	0.0	0.0	0.17411	3.78392	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia	0.00136	0.0	0.0	0.05395	0.0	0.28917	0.00877	0.02375	0.0	0.03613	0.00759	0.00172	0.00487	0.02899	0.05653	0.5278	0.0	0.00143	0.0	0.0169	0.19369	0.0	0.0	0.00104	0.06407	0.00185	0.0	0.20524	0.0	0.1789	0.01692	0.0	0.0	0.0	0.0	0.01033	0.03674	0.00854	0.06894
k__Bacteria|p__Firmicutes|c__CFGB9718	0.0009	0.13424	0.0	0.0	0.08803	0.0	0.0	0.0	0.04485	0.0	0.0028	0.0	0.01188	0.04982	0.0023	0.0	0.02614	0.0	0.0	0.00115	0.0	0.00595	0.00975	0.02664	0.0	0.01904	0.0	0.0	0.03544	0.0	0.19961	0.00063	0.00988	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB14936	0.00032	2.83995	0.00295	0.00078	1.70357	0.0	0.19784	0.00032	0.0	2.26451	2.34114	0.00093	0.00073	0.0	0.0	0.00437	0.0	0.00505	0.01371	0.01492	0.00729	0.00201	0.0049	1.3532	0.00072	0.0	0.00581	0.0	1.09912	0.60167	0.00231	0.00235	0.0	0.0	0.0	0.70109	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.0003	2.39082	0.0	0.20841	0.72029	0.0	0.67716	0.00088	0.04336	1.67831	0.82162	0.28597	0.17254	0.01405	0.0029	0.63992	0.02914	0.09304	0.06741	0.01003	1.06926	0.32291	0.07801	0.0	0.0	0.535	0.07302	0.00038	0.0	0.00085	0.11625	0.58724	0.2493	0.62308	0.02994	0.0	0.6444	0.06593	0.0
k__Bacteria|p__Firmicutes|c__CFGB2897	0.00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76388	8e-05	0.05214	0.0	0.0	0.0	0.01572	0.00145	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04134	0.0	0.0	0.06448	0.0	0.00216	0.13399	0.0	0.0	0.0	0.0	0.0	0.00726	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	66.59644	48.9221	27.80046	56.82245	59.85948	41.74313	41.42344	57.46555	55.46025	59.13699	61.86405	37.68256	60.71516	53.68968	31.99314	57.13381	64.41697	71.06482	47.79273	42.52092	59.49787	24.09276	37.06491	37.5777	17.27647	51.94037	33.89348	50.02677	55.10208	63.07943	41.15774	45.60817	61.74986	57.75663	46.37914	49.31857	53.0323	60.68119	53.86888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	9.42479	25.51083	19.0205	30.94477	22.39115	29.20397	28.73703	30.99086	16.81108	21.73436	20.15875	36.01792	18.00055	22.1464	26.6739	28.65052	9.62783	1.08508	48.20233	8.46422	24.18548	27.04704	13.9902	47.70032	37.17598	20.82303	50.38113	7.85688	30.51238	27.3406	29.31962	17.84042	25.46789	24.3292	42.82875	16.46321	16.25543	20.19513	35.42692
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	4.98851	0.13816	0.0	0.01205	0.12725	0.24329	0.1605	0.39855	0.03931	0.00164	0.00221	0.08192	0.06706	1.50014	0.14803	0.73243	0.03233	8.08311	0.00633	0.30352	0.72285	0.88338	0.19425	0.11201	0.06267	0.25468	0.00263	1.38191	1.85155	0.05042	0.0014	0.01151	0.16513	0.34175	0.00129	0.00248	6.31096	0.26705	0.00306
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2.08878	2.30957	0.19708	0.65816	0.84755	2.1084	0.5614	4.46771	0.85464	3.21162	2.26026	2.5922	1.84305	5.86465	1.18531	0.57569	9.2637	0.07914	0.10336	3.56496	0.65534	3.97465	3.47714	3.48596	2.5921	3.06368	2.86401	9.16122	0.50649	0.85798	9.00261	1.04916	0.01518	1.1164	1.19378	4.93816	7.16582	0.18737	2.81159
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.84219	2.12175	2.19245	3.26888	0.64746	1.99011	1.27572	0.53546	0.69094	4.11628	2.43841	2.77909	1.21504	0.46201	0.19706	1.09547	0.90907	5.14801	0.27109	0.51123	0.31664	2.50714	4.86796	0.756	2.46242	0.63187	0.45386	4.05467	0.72743	1.2874	0.86088	2.87869	0.44279	0.17298	0.70738	0.78063	1.85448	1.75401	1.1825
