clade_name	metaphlan_SRR13068812	metaphlan_SRR13068813	metaphlan_SRR13068814	metaphlan_SRR13068815	metaphlan_SRR13068816	metaphlan_SRR13068817	metaphlan_SRR13068818	metaphlan_SRR13068819	metaphlan_SRR13068820	metaphlan_SRR13068821	metaphlan_SRR13068822	metaphlan_SRR13068823	metaphlan_SRR13068824	metaphlan_SRR13068825	metaphlan_SRR13068826	metaphlan_SRR13068827	metaphlan_SRR13068828	metaphlan_SRR13068829	metaphlan_SRR13068830	metaphlan_SRR13068831	metaphlan_SRR13068832	metaphlan_SRR13068833	metaphlan_SRR13068834	metaphlan_SRR13068835	metaphlan_SRR13068836	metaphlan_SRR13068837	metaphlan_SRR13068838	metaphlan_SRR13068839	metaphlan_SRR13068840	metaphlan_SRR13068841	metaphlan_SRR13068842	metaphlan_SRR13068843	metaphlan_SRR13068844	metaphlan_SRR13068845	metaphlan_SRR13068846	metaphlan_SRR13068847	metaphlan_SRR13068848	metaphlan_SRR13068849	metaphlan_SRR13068850	metaphlan_SRR13068851	metaphlan_SRR13068852	metaphlan_SRR13068853
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.00544	2.71776	0.59689	1.19138	0.66118	0.40438	1.39572	1.98801	0.42224	0.95965	0.11006	0.92546	0.96693	0.86213	3.49076	1.36459	1.72594	0.79318	0.45439	0.00413	0.38909	0.18096	0.61202	4.02511	7.66936	8.12659	0.73088	0.51319	1.83763	7.21646	1.12219	0.64401	0.09897	0.12445	0.08542	0.84339	1.17161	1.13333	5.10878	0.23646	0.83865	1.43702
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	41.55776	0.01345	0.02987	0.0	0.0	1.35951	0.21373	0.0	0.0	0.17708	0.00375	0.04275	0.48026	2.96859	1.05639	0.43658	0.32215	0.81912	0.00389	0.00126	0.0	0.06013	0.61109	5.68589	1.65251	1.52486	2.29085	0.06344	0.2099	0.00183	0.14742	0.84443	5.32239	0.03289	0.0	0.0	24.78679	0.0079	0.0168	0.02135	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	18.44681	14.55728	35.65786	31.96292	15.59876	48.79351	45.63879	18.82723	36.3273	38.74006	12.51312	18.14423	16.55801	16.09859	48.4422	49.57882	50.03129	42.99685	24.53255	36.21464	30.51579	40.6897	34.21755	38.90216	39.4172	45.47918	31.29399	47.17032	52.36032	25.46556	36.54623	35.72549	14.21496	32.36111	31.28139	22.83421	21.1353	31.81942	39.34135	43.49088	33.08841	56.19614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.45781	2.49833	1.69433	1.22656	2.37746	1.11334	0.75205	2.66158	1.52275	0.85991	7.34964	1.92419	1.75804	0.76943	0.1621	1.02281	1.89142	0.41944	0.01528	1.77675	0.85894	0.54007	2.91698	0.97391	1.24624	1.1207	3.48981	0.50647	0.25555	0.89961	2.31449	0.4006	3.78096	1.03238	1.84413	2.11804	2.88764	0.55021	0.37358	2.28427	2.36579	0.36349
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	7.27912	5.92728	2.59085	2.32362	1.82589	1.34351	2.38413	2.22208	2.16555	3.00053	14.99098	3.35526	2.9572	1.57857	0.23662	1.7857	1.91126	0.90925	7.7821	6.30965	0.35263	2.04997	2.10942	5.33556	1.00159	0.8878	3.48372	2.84587	0.66835	0.37215	6.36135	1.16829	7.33268	1.41689	1.45813	6.80123	6.19306	2.27494	0.61642	1.74495	4.20994	0.72627
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	3.69481	3.61935	7.69815	0.0	0.0	4.27945	0.0	0.0	0.0	0.0	0.00035	0.0	0.00019	0.06859	7.14382	6.74124	3.92662	0.0034	0.0	0.0	0.0	0.00258	0.0	3.57748	6.04306	5.19119	0.00872	0.00082	0.00117	0.0	0.00372	0.0	2.2558	3.90546	5.53238	1.26995	0.00226	0.00341	0.00817	0.0	2.00118	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	3.31566	22.97662	15.72502	13.32434	13.44766	13.22542	14.64805	20.14346	20.46789	17.67773	13.19021	17.13826	16.33044	17.07524	4.70229	9.34085	13.16573	23.9196	19.98368	16.32729	23.69773	8.82325	28.27234	7.43728	11.41874	10.61541	18.7658	9.73289	11.71799	16.16965	12.98359	22.23272	9.42446	16.9775	8.43941	18.55555	18.70394	21.27321	20.73187	14.77282	10.23637	5.11215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2.67208	3.28736	0.28555	0.0	0.0	0.0	0.0	0.00559	0.01164	0.01877	0.53084	0.07022	0.1642	0.6994	0.10408	0.00383	0.07571	0.00962	24.46599	0.0	0.14605	0.06832	0.0	0.09888	0.20545	0.03566	0.01007	3.05596	0.1629	0.0	0.85061	0.37081	0.18261	0.00312	0.10799	0.48957	0.9207	0.12408	0.13578	0.03714	0.5231	0.46039
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	1.94706	0.62318	1.08595	0.06771	0.00047	0.87121	0.21621	0.0	0.74855	0.0	0.00415	0.0	0.0	0.0	1.7109	1.28643	1.72002	0.0	0.56164	0.36146	0.01473	0.03845	0.0	1.15554	0.56753	0.08685	0.16462	0.09755	0.39857	0.05909	1.36186	3.53725	1.49667	0.51057	1.05781	0.00294	0.05142	0.0	0.0	0.05105	0.01033	0.9065
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.66874	0.43518	0.47005	0.72973	0.4807	0.28372	0.28594	0.36382	0.74398	1.06696	2.39962	0.24141	0.49694	0.37234	0.06884	0.67179	0.26445	0.41427	0.23699	1.05086	0.10328	0.33292	0.05175	0.13911	0.1067	0.15878	0.21462	0.23871	0.02655	0.0815	0.65006	0.05075	0.96887	0.30827	0.22018	0.68158	0.59869	0.25008	0.12297	0.32489	1.12967	0.11196
