#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan4d_SRR9033715	metaphlan4d_SRR9033716	metaphlan4d_SRR9033717	metaphlan4d_SRR9033718	metaphlan4d_SRR9033719	metaphlan4d_SRR9033720	metaphlan4d_SRR9033721	metaphlan4d_SRR9033722	metaphlan4d_SRR9033723	metaphlan4d_SRR9033724	metaphlan4d_SRR9033725	metaphlan4d_SRR9033726	metaphlan4d_SRR9033727	metaphlan4d_SRR9033728	metaphlan4d_SRR9033729	metaphlan4d_SRR9033730	metaphlan4d_SRR9033731	metaphlan4d_SRR9033732	metaphlan4d_SRR9033733	metaphlan4d_SRR9033734	metaphlan4d_SRR9033735	metaphlan4d_SRR9033736	metaphlan4d_SRR9033737	metaphlan4d_SRR9033738	metaphlan4d_SRR9033739	metaphlan4d_SRR9033740	metaphlan4d_SRR9033741	metaphlan4d_SRR9033742	metaphlan4d_SRR9033743	metaphlan4d_SRR9033744	metaphlan4d_SRR9033745	metaphlan4d_SRR9033746	metaphlan4d_SRR9033747	metaphlan4d_SRR9033748	metaphlan4d_SRR9033749	metaphlan4d_SRR9033750	metaphlan4d_SRR9033751	metaphlan4d_SRR9033752	metaphlan4d_SRR9033753	metaphlan4d_SRR9033754	metaphlan4d_SRR9033755	metaphlan4d_SRR9033756	metaphlan4d_SRR9033757	metaphlan4d_SRR9033758	metaphlan4d_SRR9033759	metaphlan4d_SRR9033760	metaphlan4d_SRR9033761
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.37662	0.6101	0.57035	1.11136	0.52349	7.60938	0.57174	2.25649	2.18188	0.4553	0.27874	0.94636	0.73204	0.0	3.05925	0.59004	0.54149	0.12881	0.437	0.32823	0.0	0.0	0.11737	0.11708	0.07831	0.11911	0.0	0.58218	0.93796	0.20298	0.99716	0.31138	0.67352	0.06048	2.08489	0.67491	0.67428	1.25486	2.11336	0.17007	0.17524	1.93818	1.25247	0.29689	1.50799	0.42284	3.19777
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.33923	0.0	1.41856	0.60674	1.52948	1.09219	0.0	0.52171	0.68739	0.39198	0.59314	0.00045	0.00094	0.0	0.0	0.49613	1.20114	0.96625	0.0	0.25856	0.0	0.0	0.38143	0.31299	0.78237	0.82918	0.0	0.31235	0.0	0.0	0.85617	0.94626	0.20847	0.9398	0.02764	0.24595	0.36716	0.68183	0.09457	0.0	0.40334	0.84248	0.60889	0.46871	0.75489	1.70764	1.01173
k__Bacteria|p__Firmicutes|c__CFGB3068	0.21149	0.0	0.25435	0.59547	0.54073	0.02571	0.0	0.0	0.43327	0.0	0.78742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60412	0.0	0.0	0.6219	0.0	0.71133	1.05481	0.0	0.0	0.0	0.0	0.61981	0.0	0.0	0.0	0.0	0.0	0.0	0.51849	0.0	0.0	0.40442	0.3516	0.36184	0.00038	0.08469	0.0	0.5154
k__Bacteria|p__Firmicutes|c__CFGB72926	0.14613	0.0	0.76574	0.07521	1.40476	0.0	0.0	0.0	0.41022	0.0	0.02936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43902	0.0	0.0	0.12724	0.00729	0.22615	0.14092	0.0	0.0	0.0	0.0	0.28825	0.0	0.0	0.0	0.0	0.0	1.21741	0.0	0.0	0.0	0.18317	0.47528	0.23594	0.00013	0.19244	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB602	0.13134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18483	0.0	0.0	0.76982	0.17828	0.26478	0.27985	0.0	0.0	0.0	0.0	0.08254	0.0	0.0	0.0	0.0	0.0	0.0	0.33395	0.0	0.0	0.49854	0.0	0.0	0.0	0.0	0.73207	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012	0.11543	0.0	0.0	0.0	0.0	0.00161	0.0	2.96613	0.0	0.00639	0.0	1.76065	0.89868	0.0	1.83313	0.37111	0.19768	0.02498	1.61158	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05603	0.0	0.0	0.41482	0.0	1.40501	0.00563	0.0	1.49805	0.0	0.0	1.05435	0.0	0.0	0.00186	2.89866	0.0	0.0	2.61308
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.11441	0.0	0.0	0.0	0.0	0.06764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33501	0.0	0.0	0.03412	0.0	0.06539	0.07187	0.0	0.0	0.0	0.0	0.03462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02756	0.0	0.0	0.0	0.0	0.0	0.09077
k__Bacteria|p__Firmicutes|c__CFGB29420	0.11199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47588	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3070	0.07314	0.00775	1.43904	0.0	1.07387	0.52726	0.52818	1.2378	0.24533	0.0	0.76123	0.0	0.0	0.0	0.03187	0.0	0.0	0.0	0.0	0.12769	0.0	0.0	0.01552	0.01422	0.02268	0.0368	0.0	0.0	0.46152	0.0	0.03229	0.3658	0.0	0.19638	0.0	0.0	0.48181	0.87464	0.0	0.10536	0.15133	0.15126	0.23782	0.73941	1.55175	0.0	1.04624
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.06791	1.26091	0.50124	1.36295	0.58466	0.49738	0.69649	0.952	0.19494	2.08539	3.38507	0.53565	0.56639	0.0	0.05152	4.05481	9.06971	5.08463	0.227	0.2191	1.50302	0.0	0.2674	0.09828	1.38554	0.76906	0.42563	1.89037	0.42986	0.16029	1.11792	0.79889	0.47149	0.03941	5.12161	0.79917	0.39372	0.29282	0.67951	1.99338	0.0983	0.1608	0.12888	0.04438	0.41807	1.01962	0.22062
k__Bacteria|p__Firmicutes|c__CFGB1292	0.06359	0.0	0.0	0.29151	0.0	0.0	0.0	0.09972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2738	0.0	0.0	0.07767	0.0	0.24114	0.17739	0.0	0.0	0.03594	0.0	0.07404	0.02112	0.02835	0.0042	0.0	0.0	0.0	0.33842	0.0	0.0	0.98339	0.0	0.0	0.02508	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB76189	0.05833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11506	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0.05065	0.0	0.13358	9e-05	0.02128	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.00753	0.0	0.0	0.0	0.0	0.0	0.0217	0.15371	0.0	0.0	0.00552	0.02059	0.01732	0.0	0.0	0.0	0.0	0.0	0.18179	0.0	0.0	0.0	0.0	0.0	0.01316	0.16228	0.0	0.0003	0.17263	0.0	0.0	0.0	0.04231	0.0923	0.0
k__Bacteria|p__Firmicutes|c__CFGB2881	0.04047	0.00347	0.04585	0.1364	0.06892	0.0	0.0	0.02635	0.0	0.0	0.07824	0.0	0.0	0.0	0.0	0.0	0.0	0.00994	0.0	0.03385	0.0	0.0	0.08381	0.0	0.03935	0.00684	0.0	0.0	0.02256	0.0	0.0031	0.0	0.0	0.0	0.0	0.04045	0.0	0.01472	0.0	0.0	0.01184	0.0	0.0	0.0	0.09709	0.0	0.0
