#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR6000869	metaphlan_SRR6000870	metaphlan_SRR6000871	metaphlan_SRR6000873	metaphlan_SRR6000874	metaphlan_SRR6000877	metaphlan_SRR6000878	metaphlan_SRR6000890	metaphlan_SRR6000891	metaphlan_SRR6000892	metaphlan_SRR6000893	metaphlan_SRR6000894	metaphlan_SRR6000895	metaphlan_SRR6000896	metaphlan_SRR6000899	metaphlan_SRR6000900	metaphlan_SRR6000901	metaphlan_SRR6000902	metaphlan_SRR6000903	metaphlan_SRR6000905	metaphlan_SRR6000906	metaphlan_SRR6000907	metaphlan_SRR6000908	metaphlan_SRR6000909	metaphlan_SRR6000910	metaphlan_SRR6000911	metaphlan_SRR6000912	metaphlan_SRR6000920	metaphlan_SRR6000921	metaphlan_SRR6000931	metaphlan_SRR6000932	metaphlan_SRR6000940	metaphlan_SRR6000942	metaphlan_SRR6000944	metaphlan_SRR6000945	metaphlan_SRR6000946	metaphlan_SRR6000947	metaphlan_SRR6000949
k__Bacteria|p__Firmicutes|c__CFGB40183	0.00808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012	0.00768	0.11496	0.0	0.54949	0.03304	0.68235	0.0	0.06946	0.0	2.52801	0.0	0.36542	0.0	0.05192	0.0	0.0	2.27758	0.0	0.0	0.0	0.0	0.00208	0.59018	0.53447	0.33807	0.44768	0.0	0.48232	0.14606	0.00498	1.5671	1.66446	1.12151	0.30232	0.0	1.12538	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.00748	0.00933	0.0	0.01097	0.0	0.20771	0.0	0.0008	0.01444	0.01328	0.00763	0.04072	0.00254	0.0	0.08854	0.0	0.09406	0.01906	0.0	0.0156	0.01711	0.05769	0.03787	0.00469	0.01177	0.00789	0.0	0.02731	0.0	0.01335	0.04205	0.0522	0.00219	0.01578	0.0	0.00476	0.01111	0.02983
k__Bacteria|p__Firmicutes|c__CFGB1126	0.00741	0.003	0.0	0.00054	0.0	0.00045	0.0	0.0	0.00159	0.0	0.00411	0.00026	0.0	0.0	0.0	0.0	0.0	0.00271	0.0	0.0019	0.07994	0.0	0.0	0.00321	0.0	0.0	0.0	0.01572	0.00085	0.00539	0.0	0.11921	0.02186	0.01125	0.0	0.0	0.06511	0.01123
k__Bacteria|p__Firmicutes|c__CFGB2881	0.00648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02566	0.0	0.00305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00502	3.21741	0.0032	0.06907	2.64322	0.00539	0.7091	0.40471	0.08021	0.12603	2.11457	3.01567	0.54286	0.0	0.04059	0.45496	2.17815	0.0	2.485	0.07376	0.17502	0.10148	0.73952	0.02455	0.1296	0.02493	3.06422	4.4891	1.29256	4.29439	0.02089	0.58863	0.01154	0.04254	4.79517	0.2732	0.26506	0.09248
k__Bacteria|p__Firmicutes|c__CFGB9238	0.00454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01891	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	1.80075	0.0	0.0	0.04783	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9581	0.00416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0406	0.0	0.04288	0.00156	0.0	0.0	0.05163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26861	0.0	0.0	0.0	0.00953	0.0	0.0	0.0	0.02803	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76046	0.00033	0.0	0.01579	0.0	0.06195	0.0	0.0	0.0	0.0	0.0	0.0	0.00287	0.0	0.02077	0.0	0.02178	0.01045	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.00744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.03798	0.04257	0.05336	0.00197	0.0	0.03784	0.0	0.0	0.02287	0.0	0.0	0.06858	0.08407	0.0	0.33621	0.0	0.02148	0.0	0.0	0.02853	0.0	0.0	0.24211	0.05266	0.08794	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	44.19237	51.28059	90.53848	67.47616	56.97393	67.66925	73.67466	60.97966	66.84364	29.68886	30.7465	56.44634	56.33416	79.16561	55.16089	55.24215	55.3708	67.17864	14.53875	48.8458	21.94963	30.4709	58.9074	33.31745	56.15605	68.46812	81.12546	53.32251	68.97841	41.45377	38.71838	44.60587	53.29676	79.43827	75.48998	45.1502	63.12959	52.0471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	43.22344	29.12985	4.99656	17.18543	35.3157	14.10642	15.44192	26.48317	16.08652	25.26545	35.34524	22.30957	18.41776	7.90569	32.42951	36.13659	13.07657	24.10444	44.22706	31.77548	36.89383	38.39883	34.09927	44.2876	34.91532	14.26044	13.202	25.28395	23.62577	34.32459	30.30996	25.87732	22.51275	15.44856	11.83014	15.47905	25.28477	29.84964
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.04163	1.50274	0.04202	1.59678	0.53173	0.0228	0.40972	1.35114	0.42456	6.98481	11.61581	4.11309	0.06175	0.00566	0.2261	0.14845	0.06186	0.3437	2.73221	0.08344	28.95963	5.82626	0.07841	0.51577	0.6617	0.2595	0.00246	1.79378	0.22024	2.00822	0.98398	1.83279	1.72404	0.21072	0.17473	13.83472	0.83835	0.03359
